"h10_g3","h10_g4","h10_g10","h10_g11","h10_eco9","h10_reg7","p1002_8aq1"
2,1936,2,2,,1,
2,1945,2,2,,1,
1,1948,2,2,942,1,120
1,1942,3,1,762,1,200
2,1923,2,1,,1,
1,1962,1,1,530,1,
2,1963,1,1,,1,
2,2003,0,1,,1,
1,1927,1,1,,1,
2,1934,1,1,,1,
2,1930,2,2,,7,
1,1956,1,2,,7,
2,1960,1,2,,7,
2,1940,2,1,,2,
2,1970,3,1,,1,
2,1992,5,1,,1,
1,1940,1,2,,1,
2,1941,1,2,,1,
1,1962,5,2,999,1,40
1,1978,1,2,312,1,350
2,1975,1,2,254,1,200
2,2004,0,2,,1,
2,2008,0,2,,1,
1,1941,1,1,,1,
2,1942,1,1,510,1,150
1,1964,5,2,530,1,
2,1940,2,2,,1,
1,1975,5,1,286,1,
1,1978,1,2,521,1,
2,1961,1,2,,1,
1,1961,1,2,773,1,
2,1986,5,2,314,1,170
2,1962,1,2,941,1,120
2,1985,4,2,314,1,120
1,1952,1,2,773,1,200
2,1961,3,1,951,1,
2,1982,1,2,,1,
1,1968,5,2,274,7,
1,1971,3,2,873,7,250
2,1945,2,1,,7,
1,1943,2,2,,1,
2,1930,2,2,,1,
2,1939,2,1,,1,
1,1937,1,1,,1,
2,1945,1,1,,1,
1,1975,5,2,,1,
1,1972,1,1,,1,
2,1974,1,1,320,1,417
2,2006,0,1,,1,
2,2006,0,1,,1,
1,1980,5,2,952,1,150
2,1954,3,2,,1,
2,1941,2,1,,1,
1,1966,1,1,312,1,400
2,1974,1,1,,1,
1,1998,0,1,,1,
2,2000,0,1,,1,
1,2003,0,1,,1,
1,1955,1,2,151,1,
2,1961,1,2,,1,
2,1983,5,2,,1,
1,1985,5,2,152,1,190
2,1927,2,1,,1,
2,1936,2,1,,1,
1,1972,1,2,312,1,217
2,1973,1,2,314,1,100
1,2004,0,2,,1,
1,1926,1,2,,1,
2,1936,1,2,,1,
1,1968,5,2,,1,
2,1940,2,2,,1,
2,1982,1,1,,2,
1,1976,1,2,772,2,
1,2010,0,1,,2,
2,2012,0,1,,2,
2,1937,3,1,941,1,20
2,1942,2,2,,1,
1,1973,1,2,510,1,274.2
2,1974,1,2,,1,
2,2009,0,2,,1,
2,1939,2,2,,1,
1,1959,1,2,852,1,179.9
2,1967,1,2,,1,
2,1995,5,2,,1,
2,1998,0,2,,1,
1,1955,1,1,,1,
2,1958,1,1,442,1,100
1,1982,5,1,530,1,180
1,1968,1,1,312,1,885
2,1970,1,1,,1,
1,1994,5,1,,1,
1,1999,0,1,,1,
1,1973,1,1,312,1,583.3
2,1975,1,1,521,1,30
1,2004,0,1,,1,
2,2007,0,1,,1,
1,1950,1,1,991,5,248.5
2,1956,1,1,991,5,
1,1930,1,2,,1,
2,1938,1,2,,1,
2,1962,3,1,422,1,156.4
2,1991,5,1,422,1,100
1,1955,1,1,,1,
2,1959,1,1,,1,
2,1989,5,1,,1,
2,1995,5,1,,1,
2,1997,0,1,,1,
2,1982,5,1,313,5,200
2,1985,5,1,710,5,216.66
2,1957,4,2,999,5,291.1
2,1982,1,2,,1,
2,1986,5,2,522,1,120
1,1973,1,2,399,1,
1,2010,0,2,,1,
2,2012,0,2,,1,
2,1955,4,2,,1,
1,1975,5,2,753,1,218.2
1,1947,1,1,851,1,140
2,1956,1,1,521,1,161
1,1980,5,1,235,1,511.7
1,1954,1,1,773,1,
2,1960,1,1,,1,
1,1978,5,1,231,1,421
2,1983,5,1,313,1,158
1,1981,5,1,,1,
1,1966,1,2,311,1,416.7
2,1971,1,2,254,1,20
1,1995,5,2,,1,
2,1999,0,2,,1,
2,1928,3,1,,1,
2,1946,2,2,,1,
1,1970,5,2,,1,
1,1965,1,1,721,1,155
2,1968,1,1,721,1,120
2,1998,0,1,,1,
2,2001,0,1,,1,
1,1958,1,1,772,1,272
2,1959,1,1,,1,
1,1988,5,1,,1,
1,1991,5,1,999,1,91.4
2,1985,5,1,953,1,160
1,1960,1,1,941,1,234.2
2,1960,1,1,930,1,110
1,1987,1,1,863,2,229.2
2,1989,5,1,521,1,120
2,1986,1,1,,2,
1,2013,0,1,,2,
1,1961,3,2,910,2,150
2,1992,5,2,392,2,122
2,1996,5,2,,2,
2,1933,2,2,,2,
1,1967,3,2,521,1,
2,1994,5,2,,1,
2,1941,2,2,,1,
1,1934,1,2,,1,
2,1937,1,2,,1,
